sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-02 20:19:52.069724,1456946392.069724,DECA020000000002,1.108493,13597,15726,14794,1650,7330,64,235,0,2538
0,2016-03-02 20:19:52.085324,1456946392.085324,DECA020000000003,1.061589,13138,15242,13748,1382,6412,56,240,0,2540
1,2016-03-02 20:19:52.116524,1456946392.116524,DECA020000000002,1.171193,15099,15565,15317,1744,7723,68,237,0,2542
1,2016-03-02 20:19:52.116524,1456946392.116524,DECA020000000003,1.074488,11241,16127,15293,1383,6937,52,238,0,2544
2,2016-03-02 20:19:52.132125,1456946392.132125,DECA020000000002,1.136016,15243,15953,11469,1745,7591,68,238,0,2546
2,2016-03-02 20:19:52.147725,1456946392.147725,DECA020000000003,1.055726,12110,15602,14629,1335,6551,52,233,0,2548
3,2016-03-02 20:19:52.163325,1456946392.163325,DECA020000000002,1.106148,14081,14773,14079,1485,7481,60,232,0,2550
3,2016-03-02 20:19:52.178925,1456946392.178925,DECA020000000003,1.075660,12996,14933,13090,1188,6070,48,233,0,2552
4,2016-03-02 20:19:52.210125,1456946392.210125,DECA020000000002,1.102630,15718,14829,7811,1552,7739,60,238,0,2554
4,2016-03-02 20:19:52.210125,1456946392.210125,DECA020000000003,1.080351,13924,15422,12615,1228,6235,48,230,0,2556
5,2016-03-02 20:19:52.241325,1456946392.241325,DECA020000000002,1.128980,14030,15662,14479,1544,7747,60,234,0,2558
5,2016-03-02 20:19:52.241325,1456946392.241325,DECA020000000003,1.066279,15242,15753,11649,1484,6505,56,234,0,2560
6,2016-03-02 20:19:52.272525,1456946392.272525,DECA020000000002,1.175884,15013,14796,14332,1685,7526,68,236,0,2562
6,2016-03-02 20:19:52.288125,1456946392.288125,DECA020000000003,1.081523,13566,15498,13573,1133,6596,44,232,0,2564
7,2016-03-02 20:19:52.303725,1456946392.303725,DECA020000000002,1.178229,14392,15550,11431,1343,7518,52,232,0,2566
7,2016-03-02 20:19:52.319325,1456946392.319325,DECA020000000003,1.067452,13565,15611,14119,1043,6893,40,238,0,2568
8,2016-03-02 20:19:52.334925,1456946392.334925,DECA020000000002,1.114909,14587,16032,13799,1720,7607,64,238,0,2570
8,2016-03-02 20:19:52.350525,1456946392.350525,DECA020000000003,1.080351,13142,15433,12685,1240,6149,48,234,0,2572
9,2016-03-02 20:19:52.366125,1456946392.366125,DECA020000000002,1.108493,15241,15753,12650,1711,7169,64,234,0,2574
9,2016-03-02 20:19:52.381725,1456946392.381725,DECA020000000003,1.070970,14062,15713,13274,1386,6672,52,234,0,2576
10,2016-03-02 20:19:52.397325,1456946392.397325,DECA020000000002,1.187609,14532,15662,13174,1546,7418,60,233,0,2578
