sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
0,2016-03-09 09:21:38.609106,1457511698.609106,DECA020000000002,25.407399,2641,5392,4727,530,492,36,238,0,2302
0,2016-03-09 09:21:38.619106,1457511698.619106,DECA020000000003,23.174789,2649,5588,5371,486,570,32,232,0,2304
1,2016-03-09 09:21:38.649106,1457511698.649106,DECA020000000003,23.199414,4094,5900,4519,426,595,28,237,1,2307
2,2016-03-09 09:21:38.679106,1457511698.679106,DECA020000000002,25.395673,4109,5371,3301,542,451,36,231,1,2309
2,2016-03-09 09:21:38.689106,1457511698.689106,DECA020000000003,23.175962,5070,5742,3338,534,574,36,230,1,2311
3,2016-03-09 09:21:38.709106,1457511698.709106,DECA020000000002,25.380430,2102,4879,4485,541,407,36,236,1,2313
3,2016-03-09 09:21:38.719106,1457511698.719106,DECA020000000003,23.208794,3539,5667,4474,483,530,32,232,1,2315
4,2016-03-09 09:21:38.739106,1457511698.739106,DECA020000000002,25.409744,2555,5176,4596,479,457,32,232,1,2317
4,2016-03-09 09:21:38.759106,1457511698.759106,DECA020000000003,23.186515,2279,5499,5366,486,558,32,230,1,2319
5,2016-03-09 09:21:38.779106,1457511698.779106,DECA020000000002,25.373394,3052,5129,4027,539,426,36,231,1,2321
5,2016-03-09 09:21:38.789106,1457511698.789106,DECA020000000003,23.177135,4500,5942,3942,480,579,32,228,1,2323
6,2016-03-09 09:21:38.809106,1457511698.809106,DECA020000000002,25.408572,2259,5027,4442,588,422,40,232,1,2325
6,2016-03-09 09:21:38.819106,1457511698.819106,DECA020000000003,23.213485,4849,6256,4309,487,662,32,235,1,2327
7,2016-03-09 09:21:38.839106,1457511698.839106,DECA020000000002,25.398019,1878,4616,4409,482,382,32,234,1,2329
7,2016-03-09 09:21:38.849106,1457511698.849106,DECA020000000003,23.184170,3005,5867,5271,538,599,36,242,1,2331
8,2016-03-09 09:21:38.879106,1457511698.879106,DECA020000000002,25.389810,1176,4463,4985,536,418,36,237,1,2333
8,2016-03-09 09:21:38.889106,1457511698.889106,DECA020000000003,23.187688,4324,6175,4350,534,617,36,229,1,2335
9,2016-03-09 09:21:38.909106,1457511698.909106,DECA020000000002,25.381602,2015,4989,4638,479,436,32,237,1,2337
9,2016-03-09 09:21:38.919106,1457511698.919106,DECA020000000003,23.166581,2097,5327,5365,480,542,32,229,1,2339
10,2016-03-09 09:21:38.939106,1457511698.939106,DECA020000000002,25.422643,2157,5022,4435,488,421,32,230,1,2341
10,2016-03-09 09:21:38.949106,1457511698.949106,DECA020000000003,23.177135,2738,5421,4844,485,506,32,231,1,2343
11,2016-03-09 09:21:38.969106,1457511698.969106,DECA020000000002,25.360496,2893,5066,4213,480,429,32,237,1,2345
11,2016-03-09 09:21:38.989106,1457511698.989106,DECA020000000003,23.167754,2956,5449,4773,431,513,28,232,1,2347
12,2016-03-09 09:21:39.009106,1457511699.009106,DECA020000000002,25.396846,3463,5059,3337,484,393,32,234,1,2349
12,2016-03-09 09:21:39.019106,1457511699.019106,DECA020000000003,23.172444,4428,5862,3686,493,539,32,232,1,2351
13,2016-03-09 09:21:39.039106,1457511699.039106,DECA020000000002,25.367531,828,4004,4959,478,396,32,236,1,2353
13,2016-03-09 09:21:39.049106,1457511699.049106,DECA020000000003,23.146647,2132,5344,5367,537,544,36,230,1,2355
14,2016-03-09 09:21:39.069106,1457511699.069106,DECA020000000002,25.395673,2062,5056,4868,484,452,32,233,1,2357
14,2016-03-09 09:21:39.089106,1457511699.089106,DECA020000000003,23.177135,4021,5666,3920,538,517,36,230,1,2359
15,2016-03-09 09:21:39.109106,1457511699.109106,DECA020000000002,25.393328,1588,4252,4488,538,367,36,236,1,2361
15,2016-03-09 09:21:39.119106,1457511699.119106,DECA020000000003,23.200586,2402,5565,5703,537,612,36,232,1,2363
16,2016-03-09 09:21:39.139107,1457511699.139107,DECA020000000002,25.410917,1324,4612,4849,480,413,32,233,1,2365
16,2016-03-09 09:21:39.149107,1457511699.149107,DECA020000000003,23.180652,2507,5441,5208,544,536,36,233,1,2367
17,2016-03-09 09:21:39.169107,1457511699.169107,DECA020000000002,25.380430,2124,5097,4767,481,456,32,234,1,2369
17,2016-03-09 09:21:39.189107,1457511699.189107,DECA020000000003,23.231074,1574,4955,5881,539,567,36,234,1,2371
18,2016-03-09 09:21:39.209107,1457511699.209107,DECA020000000002,25.378084,3724,5508,3808,535,464,36,234,1,2373
18,2016-03-09 09:21:39.219107,1457511699.219107,DECA020000000003,23.200586,2654,5665,5159,538,563,36,236,1,2375
19,2016-03-09 09:21:39.239107,1457511699.239107,DECA020000000002,25.427333,3067,5244,3893,480,425,32,237,1,2377
19,2016-03-09 09:21:39.249107,1457511699.249107,DECA020000000003,23.151338,3894,5442,4062,540,507,36,229,1,2379
20,2016-03-09 09:21:39.269107,1457511699.269107,DECA020000000002,25.405054,3628,5071,3221,535,396,36,234,1,2381
20,2016-03-09 09:21:39.289107,1457511699.289107,DECA020000000003,23.147820,2580,5570,5398,536,578,36,233,1,2383
21,2016-03-09 09:21:39.309107,1457511699.309107,DECA020000000002,25.346425,4127,5045,3019,538,419,36,234,1,2385
21,2016-03-09 09:21:39.319107,1457511699.319107,DECA020000000003,23.191206,2088,5187,5451,541,534,36,236,1,2387
22,2016-03-09 09:21:39.339107,1457511699.339107,DECA020000000002,25.408572,1544,4701,4865,484,428,32,235,1,2389
22,2016-03-09 09:21:39.349107,1457511699.349107,DECA020000000003,23.228728,1816,5169,5753,536,569,36,232,1,2391
23,2016-03-09 09:21:39.369107,1457511699.369107,DECA020000000002,25.373394,1967,4906,4607,482,416,32,231,1,2393
23,2016-03-09 09:21:39.389107,1457511699.389107,DECA020000000003,23.193551,4405,5663,3682,536,531,36,233,1,2395
24,2016-03-09 09:21:39.409107,1457511699.409107,DECA020000000002,25.407399,2856,5129,3872,487,402,32,235,1,2397
24,2016-03-09 09:21:39.419107,1457511699.419107,DECA020000000003,23.202931,3563,5792,4601,475,545,32,231,1,2399
25,2016-03-09 09:21:39.439107,1457511699.439107,DECA020000000002,25.414435,1055,4452,5370,486,465,32,231,1,2401
25,2016-03-09 09:21:39.449107,1457511699.449107,DECA020000000003,23.166581,2199,5399,5260,548,523,36,227,1,2403
26,2016-03-09 09:21:39.469107,1457511699.469107,DECA020000000002,25.405054,2451,5104,4283,483,420,32,234,1,2405
26,2016-03-09 09:21:39.489107,1457511699.489107,DECA020000000003,23.165409,1644,5332,5866,534,586,36,230,1,2407
27,2016-03-09 09:21:39.509107,1457511699.509107,DECA020000000002,25.398019,2680,5156,4156,427,421,28,234,1,2409
27,2016-03-09 09:21:39.519107,1457511699.519107,DECA020000000003,23.174789,2546,5220,5100,428,520,28,238,1,2411
28,2016-03-09 09:21:39.539107,1457511699.539107,DECA020000000002,25.407399,1120,4153,5122,481,433,32,238,1,2413
28,2016-03-09 09:21:39.549107,1457511699.549107,DECA020000000003,23.226383,1337,4835,5862,535,554,36,230,1,2415
29,2016-03-09 09:21:39.569107,1457511699.569107,DECA020000000002,25.402709,2405,5069,4677,484,450,32,239,1,2417
29,2016-03-09 09:21:39.589107,1457511699.589107,DECA020000000003,23.194723,4290,5637,3834,484,512,32,229,1,2419
30,2016-03-09 09:21:39.609107,1457511699.609107,DECA020000000002,25.393328,3663,5262,3504,538,430,36,234,1,2421
30,2016-03-09 09:21:39.619107,1457511699.619107,DECA020000000003,23.180652,3286,5692,4577,485,525,32,234,1,2423
31,2016-03-09 09:21:39.639107,1457511699.639107,DECA020000000002,25.394501,1826,5025,4846,533,452,36,240,1,2425
31,2016-03-09 09:21:39.649107,1457511699.649107,DECA020000000003,23.201759,2767,5586,5571,485,587,32,229,1,2427
32,2016-03-09 09:21:39.669107,1457511699.669107,DECA020000000002,25.375739,2185,4847,4230,482,393,32,232,1,2429
32,2016-03-09 09:21:39.689107,1457511699.689107,DECA020000000003,23.194723,2081,5161,5570,592,548,40,229,1,2431
33,2016-03-09 09:21:39.709107,1457511699.709107,DECA020000000002,25.414435,3605,5376,3853,487,454,32,232,1,2433
33,2016-03-09 09:21:39.719107,1457511699.719107,DECA020000000003,23.170099,3993,5918,4365,537,561,36,235,1,2435
34,2016-03-09 09:21:39.739107,1457511699.739107,DECA020000000002,25.398019,3581,5143,3463,534,417,36,232,1,2437
34,2016-03-09 09:21:39.749107,1457511699.749107,DECA020000000003,23.150165,3800,5668,4416,480,544,32,230,1,2439
35,2016-03-09 09:21:39.769107,1457511699.769107,DECA020000000002,25.420298,2993,5068,3749,541,401,36,234,1,2441
35,2016-03-09 09:21:39.789107,1457511699.789107,DECA020000000003,23.212312,3999,5237,3490,426,451,28,227,1,2443
36,2016-03-09 09:21:39.809107,1457511699.809107,DECA020000000002,25.388638,1276,4544,5316,540,463,36,235,1,2445
36,2016-03-09 09:21:39.819107,1457511699.819107,DECA020000000003,23.184170,4395,5643,3757,484,526,32,232,1,2447
37,2016-03-09 09:21:39.839107,1457511699.839107,DECA020000000002,25.390983,1272,4594,4974,482,432,32,233,1,2449
37,2016-03-09 09:21:39.849107,1457511699.849107,DECA020000000003,23.194723,3126,5854,5531,535,635,36,232,1,2451
38,2016-03-09 09:21:39.879108,1457511699.879108,DECA020000000002,25.412090,2845,4585,3388,481,334,32,236,1,2453
38,2016-03-09 09:21:39.889108,1457511699.889108,DECA020000000003,23.187688,4434,5383,3267,539,490,36,232,1,2455
39,2016-03-09 09:21:39.909108,1457511699.909108,DECA020000000002,25.380430,1796,5017,4649,537,427,36,237,1,2457
39,2016-03-09 09:21:39.919108,1457511699.919108,DECA020000000003,23.161891,2102,5456,5793,539,595,36,235,1,2459
40,2016-03-09 09:21:39.939108,1457511699.939108,DECA020000000002,25.400364,3569,4846,3131,536,380,36,235,1,2461
40,2016-03-09 09:21:39.949108,1457511699.949108,DECA020000000003,23.207622,3462,5954,5161,477,624,32,234,1,2463
41,2016-03-09 09:21:39.979108,1457511699.979108,DECA020000000002,25.409744,2796,5171,4145,535,428,36,239,1,2465
41,2016-03-09 09:21:39.989108,1457511699.989108,DECA020000000003,23.154855,2729,5490,5103,487,542,32,232,1,2467
